label,stage,n
MORB,raw_analysis_rows,22680
MORB,after_exact_duplicate_removal,22648
MORB,unique_sample_urls,7668
MORB,exclusive_target_setting,7557
MORB,mixed_or_secondary,111
MORB,strict_candidate,4249
MORB,model_ready_broad,3650
MORB,model_ready_immobile,2302
MORB,model_ready_broad_no_severe_alteration,3630
MORB,model_ready_immobile_no_severe_alteration,2292
ARC,raw_analysis_rows,4632
ARC,after_exact_duplicate_removal,4630
ARC,unique_sample_urls,1694
ARC,exclusive_target_setting,1675
ARC,mixed_or_secondary,19
ARC,strict_candidate,824
ARC,model_ready_broad,754
ARC,model_ready_immobile,579
ARC,model_ready_broad_no_severe_alteration,754
ARC,model_ready_immobile_no_severe_alteration,579
OIB,raw_analysis_rows,6555
OIB,after_exact_duplicate_removal,6550
OIB,unique_sample_urls,3304
OIB,exclusive_target_setting,3296
OIB,mixed_or_secondary,8
OIB,strict_candidate,1918
OIB,model_ready_broad,1281
OIB,model_ready_immobile,789
OIB,model_ready_broad_no_severe_alteration,1281
OIB,model_ready_immobile_no_severe_alteration,789
CIB,raw_analysis_rows,1707
CIB,after_exact_duplicate_removal,1697
CIB,unique_sample_urls,1052
CIB,exclusive_target_setting,1038
CIB,mixed_or_secondary,14
CIB,strict_candidate,549
CIB,model_ready_broad,463
CIB,model_ready_immobile,335
CIB,model_ready_broad_no_severe_alteration,463
CIB,model_ready_immobile_no_severe_alteration,335
