field,ARC,CIB,OIB,overall
SIO2(WT%),1.0,1.0,1.0,1.0
TIO2(WT%),1.0,1.0,1.0,1.0
AL2O3(WT%),1.0,1.0,1.0,1.0
CAO(WT%),1.0,1.0,1.0,1.0
MGO(WT%),1.0,1.0,1.0,1.0
P2O5(WT%),1.0,1.0,1.0,1.0
MNO(WT%),1.0,1.0,1.0,1.0
K2O(WT%),1.0,1.0,1.0,1.0
NA2O(WT%),1.0,1.0,1.0,1.0
SR(PPM),0.8381117604090577,0.9047315354713313,0.7291580826809504,0.8606571893162462
ZR(PPM),0.7965668371073776,0.904124149659864,0.6983930778739185,0.8420781478917457
RB(PPM),0.7923666910153396,0.8766703109815355,0.7130888614201346,0.8277655241253844
Y(PPM),0.7764791818845873,0.8732385811467445,0.6812251064414229,0.8166084394571185
NI(PPM),0.7548392987582176,0.8229774052478134,0.6390605686032138,0.7773895963807899
NB(PPM),0.6951241782322863,0.8438107385811467,0.649910726548551,0.7686474651039235
CR(PPM),0.7310080350620891,0.7855017006802721,0.6074715011674221,0.7454156134786598
FEOT(WT%),0.6869978086194303,0.7901178328474247,0.7126768301057547,0.744675027771964
CE(PPM),0.6510226442658875,0.7657312925170068,0.5930504051641258,0.7050375927744594
LA(PPM),0.6510226442658875,0.7675534499514092,0.5773932152176898,0.7041682095535556
V(PPM),0.6584642074506939,0.7439261418853256,0.5533580552121962,0.691449455025518
ND(PPM),0.6006665449233016,0.707331146744412,0.5390743029803599,0.6499927551398258
TH(PPM),0.5812180423666911,0.7072704081632653,0.5040516412580689,0.6389966673643198
SM(PPM),0.5696219868517166,0.6670614674441205,0.5069358604587282,0.6139294511615926
EU(PPM),0.5651935719503287,0.6535775024295433,0.5065238291443483,0.6051712201954502
YB(PPM),0.5653305332359386,0.6534560252672498,0.5006180469715699,0.6044628338673064
LU(PPM),0.5273009495982469,0.6346878036929058,0.484548825710754,0.5792185210825431
HF(PPM),0.5043827611395179,0.6034985422740525,0.44279631918692486,0.5497077906396407
U(PPM),0.4827428780131483,0.5779579689018465,0.4238428787254498,0.526314942121617
TA(PPM),0.44576333089846604,0.5696975218658892,0.40255459414915534,0.5063996264872088
