direction,ontology_variant,model,label,precision,recall,f1-score,support
GEOROC_to_PetDB,broad_cib,logistic_balanced,ARC,0.882202304737516,0.9137931034482759,0.8977198697068404,754.0
GEOROC_to_PetDB,broad_cib,logistic_balanced,CIB,0.564327485380117,0.4168466522678186,0.4795031055900621,463.0
GEOROC_to_PetDB,broad_cib,logistic_balanced,OIB,0.8065454545454546,0.8657298985167837,0.8350903614457831,1281.0
GEOROC_to_PetDB,broad_cib,random_forest_balanced,ARC,0.8945362134688691,0.9336870026525199,0.9136924075275795,754.0
GEOROC_to_PetDB,broad_cib,random_forest_balanced,CIB,0.552317880794702,0.9006479481641468,0.6847290640394089,463.0
GEOROC_to_PetDB,broad_cib,random_forest_balanced,OIB,0.9518828451882845,0.7103825136612022,0.813589628967367,1281.0
PetDB_to_GEOROC,broad_cib,logistic_balanced,ARC,0.6279778755280694,0.7768439200474112,0.6945233851933914,18561.0
PetDB_to_GEOROC,broad_cib,logistic_balanced,CIB,0.801086810680263,0.39692195186810264,0.5308290731273616,30084.0
PetDB_to_GEOROC,broad_cib,logistic_balanced,OIB,0.23375658098482502,0.7031861375069871,0.35087393082930457,5367.0
PetDB_to_GEOROC,broad_cib,random_forest_balanced,ARC,0.6168109785982683,0.8136415063843543,0.7016842838889534,18561.0
PetDB_to_GEOROC,broad_cib,random_forest_balanced,CIB,0.8546235586705856,0.25129637016354206,0.388389416902132,30084.0
PetDB_to_GEOROC,broad_cib,random_forest_balanced,OIB,0.22826612513296587,0.8796348052915968,0.3624707282429268,5367.0
GEOROC_to_PetDB,rift_aligned_cib,logistic_balanced,ARC,0.8631319358816276,0.9283819628647215,0.8945686900958466,754.0
GEOROC_to_PetDB,rift_aligned_cib,logistic_balanced,CIB,0.43914081145584727,0.39740820734341253,0.41723356009070295,463.0
GEOROC_to_PetDB,rift_aligned_cib,logistic_balanced,OIB,0.7988958990536278,0.7907884465261514,0.7948214986269125,1281.0
GEOROC_to_PetDB,rift_aligned_cib,random_forest_balanced,ARC,0.7885032537960954,0.9641909814323607,0.8675417661097852,754.0
GEOROC_to_PetDB,rift_aligned_cib,random_forest_balanced,CIB,0.7898089171974523,0.5356371490280778,0.6383526383526383,463.0
GEOROC_to_PetDB,rift_aligned_cib,random_forest_balanced,OIB,0.8637083993660856,0.8508977361436377,0.8572552103814393,1281.0
PetDB_to_GEOROC,rift_aligned_cib,logistic_balanced,ARC,0.9448885976408912,0.7768439200474112,0.8526655036811448,18561.0
PetDB_to_GEOROC,rift_aligned_cib,logistic_balanced,CIB,0.3187040441176471,0.40543700672318034,0.3568763669111025,3421.0
PetDB_to_GEOROC,rift_aligned_cib,logistic_balanced,OIB,0.48778596355176423,0.7031861375069871,0.576007326007326,5367.0
PetDB_to_GEOROC,rift_aligned_cib,random_forest_balanced,ARC,0.9501698754246886,0.8136415063843543,0.8766216804527645,18561.0
PetDB_to_GEOROC,rift_aligned_cib,random_forest_balanced,CIB,0.4230596680125617,0.27565039462145574,0.3338053097345133,3421.0
PetDB_to_GEOROC,rift_aligned_cib,random_forest_balanced,OIB,0.5117060481248645,0.8796348052915968,0.6470225450558487,5367.0
