feature,ears_cib_n,other_cib_n,oib_n,ears_cib_median_log10,other_cib_median_log10,oib_median_log10,ears_minus_other_cib_log10,ears_minus_other_cib_ci_low,ears_minus_other_cib_ci_high,ears_minus_oib_log10,ears_minus_oib_ci_low,ears_minus_oib_ci_high,ears_shift_from_other_cib_global_mad,oib_proximity_gain_global_mad,ears_closer_to_oib_than_other_cib
SIO2(WT%),347,116,1281,1.6821450763738317,1.6657685405985243,1.6843066460716316,0.0163765357753074,-0.002270773167857037,0.022703851870387273,-0.0021615696977999033,-0.004955182166441974,-9.007175963259284e-05,1.9550189947631407,1.6969723678278474,True
FEOT(WT%),347,116,1281,1.0915001002002809,0.995345126194464,1.0549958615291415,0.09615497400581685,0.06544034921977473,0.10931207199661118,0.03650423867113939,0.025013163880088028,0.045379930703921885,1.9008802479317422,1.1792307755751983,True
NB(PPM),290,104,1116,1.430073137827971,1.9292986724973462,1.3975052793157232,-0.49922553466937525,-0.5828816847829073,-0.4505852043069427,0.03256785851224775,0.0,0.06494253540112295,-1.1164409440905418,1.0436079494231087,True
V(PPM),262,114,989,2.512310553524771,2.432966334096593,2.4653828514484184,0.07934421942817815,0.05620905018347446,0.10217941459802671,0.04692770207635277,0.028052848575354228,0.06737688755688587,1.1344033871127055,0.46346674461389764,True
TIO2(WT%),347,116,1281,0.42975228000240795,0.5009533520204424,0.4471580313422192,-0.0712010720180345,-0.12720703381105558,-0.00940550939952071,-0.01740575133981126,-0.044920099637543696,0.0015427884142811266,-0.5250940250997582,0.39673000231380884,True
SR(PPM),345,104,1277,2.645520514905874,2.7856855226266606,2.593286067020457,-0.14016500772078677,-0.19856419565356648,-0.029163812715764285,0.052234447885416646,0.031484396497976075,0.07383168397983031,-0.5680226672759157,0.35634108644467516,True
AL2O3(WT%),347,116,1281,1.1568519010700111,1.165688743232562,1.1559430179718369,-0.008836842162550873,-0.01976417792807661,0.004202687085214035,0.0009088830981742735,-0.006994646993637021,0.00843331385362337,-0.2957453974906849,0.2653275187736429,True
ZR(PPM),346,104,1239,2.245018589692117,2.295565708211562,2.2671717284030137,-0.05054711851944527,-0.11943342718727487,0.021794399433163747,-0.022153138710896858,-0.04580318832460386,0.007090356552839058,-0.3078536561576572,0.17293152909528609,True
LA(PPM),300,76,840,1.4487063199050798,1.3252508974391835,1.3799396378726299,0.12345542246589636,-0.02559754808739801,0.3160703872616996,0.06876668203244996,0.022629918370019986,0.10890420892805555,0.3642338177546683,0.16134964603738558,True
CE(PPM),290,76,798,1.7323937598229686,1.6812402948941974,1.7172525162510368,0.051153464928771264,-0.07075656301757233,0.23154224785829755,0.015141243571931806,-0.02945503256871853,0.061382502119266144,0.1939793877645215,0.13656217932777956,True
NA2O(WT%),347,116,1281,0.4742162640762552,0.43695079893223066,0.4440447959180762,0.03726546514402457,-0.033558194807004935,0.07542226510411364,0.030171468158179005,0.015132429171576292,0.039097860891932956,0.6712402521393643,0.1277798709086664,True
RB(PPM),336,104,1268,1.2345154399343303,1.380211241711606,1.0791812460476249,-0.1456958017772756,-0.21494058165137248,-0.026749529993518897,0.15533419388670544,0.1249387366082999,0.21844001390525847,-0.3657263012329131,-0.02419433815535017,False
ND(PPM),261,72,792,1.4775553321989812,1.47783906564079,1.469079665706524,-0.0002837334418088755,-0.1433417231895271,0.05895473969925925,0.008475666492457234,-0.015932187094556214,0.039377496637650354,-0.0014791314854767188,-0.04270538581875513,False
P2O5(WT%),347,116,1281,-0.37675070960209955,-0.32800046547141937,-0.4412914294668343,-0.04875024413068019,-0.22535252622081026,0.13565115187379312,0.06454071986473475,0.03757266114042617,0.08715017571890016,-0.24427353254330386,-0.07912155840198888,False
K2O(WT%),347,116,1281,-0.060480747381381476,-0.00877392430750515,-0.1804560644581313,-0.05170682307387633,-0.15241344298973036,-0.009390944496493584,0.11997531707674983,0.09177037335564531,0.1500494571913311,-0.14147338684556518,-0.18678724561424925,False
Y(PPM),307,96,1215,1.4857214264815801,1.5071762503255044,1.424881636631067,-0.021454823843924276,-0.04503571142924169,0.014733758864453618,0.06083978985051308,0.041672264737968055,0.08253252296256268,-0.24009923854600934,-0.4407540428732224,False
MNO(WT%),347,116,1281,-0.6989700043360187,-0.6777807052660807,-0.744727494896694,-0.02118929906993805,-0.0606978403536117,0.0,0.04575749056067524,0.04575749056067524,0.04575749056067524,-0.4630782591069033,-0.5369217408930967,False
CAO(WT%),347,116,1281,0.9881128402683519,0.9689486788700709,1.0285712526925377,0.019164161398281032,-0.006273925798140297,0.08118858312412788,-0.0404584124241858,-0.04922086156732095,-0.02343470363993196,0.6132168847154557,-0.6813757202872168,False
MGO(WT%),347,116,1281,0.7759743311293691,0.7558581462545345,0.8698182079793282,0.020116184874834575,-0.03308769181461848,0.10007766241426563,-0.0938438768499591,-0.12302927759981533,-0.06603719720680029,0.35041321415992677,-1.2842970810989267,False
CR(PPM),289,111,930,1.9317120670567556,2.2121876044039577,2.479286719275497,-0.2804755373472021,-0.3769620992686335,-0.0996812387135234,-0.5475746522187415,-0.6083994115207116,-0.40464337417246926,-1.5572310015609288,-1.4829636341958647,False
NI(PPM),0,69,559,,1.8864907251724818,1.9242792860618816,,,,,,,,,False
