model,actual,predicted,n,row_share
logistic_balanced,ARC,ARC,28,0.9333333333333333
logistic_balanced,ARC,CIB,1,0.03333333333333333
logistic_balanced,ARC,MORB,0,0.0
logistic_balanced,ARC,OIB,1,0.03333333333333333
logistic_balanced,CIB,ARC,80,0.8163265306122449
logistic_balanced,CIB,CIB,12,0.12244897959183673
logistic_balanced,CIB,MORB,1,0.01020408163265306
logistic_balanced,CIB,OIB,5,0.05102040816326531
logistic_balanced,MORB,ARC,2,0.041666666666666664
logistic_balanced,MORB,CIB,0,0.0
logistic_balanced,MORB,MORB,46,0.9583333333333334
logistic_balanced,MORB,OIB,0,0.0
logistic_balanced,OIB,ARC,0,0.0
logistic_balanced,OIB,CIB,39,0.7090909090909091
logistic_balanced,OIB,MORB,0,0.0
logistic_balanced,OIB,OIB,16,0.2909090909090909
random_forest_balanced,ARC,ARC,29,0.9666666666666667
random_forest_balanced,ARC,CIB,1,0.03333333333333333
random_forest_balanced,ARC,MORB,0,0.0
random_forest_balanced,ARC,OIB,0,0.0
random_forest_balanced,CIB,ARC,44,0.4489795918367347
random_forest_balanced,CIB,CIB,51,0.5204081632653061
random_forest_balanced,CIB,MORB,1,0.01020408163265306
random_forest_balanced,CIB,OIB,2,0.02040816326530612
random_forest_balanced,MORB,ARC,0,0.0
random_forest_balanced,MORB,CIB,0,0.0
random_forest_balanced,MORB,MORB,48,1.0
random_forest_balanced,MORB,OIB,0,0.0
random_forest_balanced,OIB,ARC,0,0.0
random_forest_balanced,OIB,CIB,11,0.2
random_forest_balanced,OIB,MORB,0,0.0
random_forest_balanced,OIB,OIB,44,0.8
