cv_strategy,actual,predicted,n,mean_confidence,median_confidence,mean_margin_over_actual,actual_n,share_of_actual
citation_overlap_conservative,ARC,ARC,657,0.7361940122448041,0.7822511852741321,0.0,754,0.8713527851458885
citation_overlap_conservative,ARC,CIB,25,0.4672759105433289,0.477526180211298,0.2730402774278042,754,0.033156498673740056
citation_overlap_conservative,ARC,MORB,60,0.6625242412272391,0.6452320371254218,0.44020100641202947,754,0.07957559681697612
citation_overlap_conservative,ARC,OIB,12,0.4042595815641554,0.4289822759457349,0.049416269700131694,754,0.015915119363395226
citation_overlap_conservative,CIB,ARC,22,0.3732060496228847,0.3309670943460796,0.148194811888377,463,0.047516198704103674
citation_overlap_conservative,CIB,CIB,232,0.6510942049375043,0.6349097132345034,0.0,463,0.5010799136069114
citation_overlap_conservative,CIB,MORB,34,0.48670493157742406,0.48174890879866566,0.31524680921293535,463,0.0734341252699784
citation_overlap_conservative,CIB,OIB,175,0.5954587852873215,0.584200874560197,0.3563531656847272,463,0.3779697624190065
citation_overlap_conservative,MORB,ARC,9,0.6143623248769617,0.5510138987515555,0.3397440689242404,3650,0.002465753424657534
citation_overlap_conservative,MORB,CIB,48,0.5208076614863631,0.47697878332904653,0.37238685806038285,3650,0.01315068493150685
citation_overlap_conservative,MORB,MORB,3419,0.8846398503183635,0.9398330825954979,0.0,3650,0.9367123287671233
citation_overlap_conservative,MORB,OIB,174,0.5744872533928359,0.5463691112221398,0.376044257003026,3650,0.04767123287671233
citation_overlap_conservative,OIB,ARC,77,0.7482409666671951,0.7833909720507011,0.6342150010956616,1281,0.060109289617486336
citation_overlap_conservative,OIB,CIB,111,0.5412934957061485,0.527112803303623,0.18787217736217615,1281,0.08665105386416862
citation_overlap_conservative,OIB,MORB,181,0.4945578693720264,0.4601841531993684,0.22785863673121864,1281,0.141295862607338
citation_overlap_conservative,OIB,OIB,912,0.6336659947309037,0.6253529290196905,0.0,1281,0.711943793911007
location_root_grouped,ARC,ARC,658,0.7589357273704996,0.784198495628988,0.0,754,0.8726790450928382
location_root_grouped,ARC,CIB,22,0.5226943496692738,0.5072523895045371,0.33289592347802643,754,0.029177718832891247
location_root_grouped,ARC,MORB,50,0.6440043403168861,0.6325553941688933,0.40785762476424536,754,0.06631299734748011
location_root_grouped,ARC,OIB,24,0.38477979139909135,0.4104101053713578,0.1204151583054338,754,0.03183023872679045
location_root_grouped,CIB,ARC,23,0.3819517893084405,0.3404098290148395,0.27769406019817205,463,0.04967602591792657
location_root_grouped,CIB,CIB,59,0.6018491203516795,0.6123076439372359,0.0,463,0.12742980561555076
location_root_grouped,CIB,MORB,44,0.4781614018300695,0.4475825809409494,0.3368042654191939,463,0.09503239740820735
location_root_grouped,CIB,OIB,337,0.6392445044110552,0.6388243088064672,0.5419849295447369,463,0.7278617710583153
location_root_grouped,MORB,ARC,17,0.5052503165131231,0.497269979585427,0.1758361596753427,3650,0.004657534246575342
location_root_grouped,MORB,CIB,50,0.5391534888815729,0.5045046881174342,0.39251785652770926,3650,0.0136986301369863
location_root_grouped,MORB,MORB,3431,0.8711600306194386,0.9272674874007356,0.0,3650,0.94
location_root_grouped,MORB,OIB,152,0.5737867674350232,0.5541955295123436,0.37604191286619393,3650,0.041643835616438356
location_root_grouped,OIB,ARC,77,0.7173242958704292,0.7409059443718895,0.5883820305979981,1281,0.060109289617486336
location_root_grouped,OIB,CIB,133,0.5497891947224155,0.5325233062420571,0.19706899247467582,1281,0.10382513661202186
location_root_grouped,OIB,MORB,226,0.5996520309174712,0.6228650667480077,0.4018019552067451,1281,0.17642466822794692
location_root_grouped,OIB,OIB,845,0.6515985165223237,0.6487749009732937,0.0,1281,0.6596409055425448
