feature,ARC,CIB,MORB,OIB
SIO2(WT%),0.0,0.0,0.0,0.0
TIO2(WT%),0.0,0.0,0.0,0.0
AL2O3(WT%),0.0,0.0,0.0,0.0
FEOT(WT%),0.0,0.0,0.0,0.0
CAO(WT%),0.0,0.0,0.0,0.0
MGO(WT%),0.0,0.0,0.0,0.0
MNO(WT%),0.0,0.0,0.0,0.0
K2O(WT%),0.0,0.0,0.0,0.0
NA2O(WT%),0.0,0.0,0.0,0.0
P2O5(WT%),0.0,0.0,0.0,0.0
V(PPM),0.16445623342175067,0.1879049676025918,0.1865753424657534,0.22794691647150664
CR(PPM),0.1259946949602122,0.13606911447084233,0.13945205479452055,0.27400468384074944
NI(PPM),0.46153846153846156,0.8509719222462203,0.19808219178082193,0.5636221701795472
RB(PPM),0.04111405835543767,0.04967602591792657,0.17835616438356164,0.01014832162373146
SR(PPM),0.010610079575596816,0.03023758099352052,0.05150684931506849,0.00312256049960968
Y(PPM),0.03050397877984085,0.12958963282937366,0.08109589041095891,0.05152224824355972
ZR(PPM),0.026525198938992044,0.028077753779697623,0.056438356164383564,0.03278688524590164
NB(PPM),0.19496021220159152,0.1490280777537797,0.14767123287671233,0.1288056206088993
LA(PPM),0.23872679045092837,0.1879049676025918,0.3646575342465753,0.3442622950819672
CE(PPM),0.23209549071618038,0.20950323974082075,0.40383561643835614,0.3770491803278688
ND(PPM),0.23474801061007958,0.28077753779697623,0.4191780821917808,0.38173302107728335
TH(PPM),0.2612732095490716,0.23758099352051837,0.4893150684931507,1.0
