feature,coefficient_toward_petdb_when_missing
CE(PPM),0.6582263550357943
NI(PPM),0.4143209730539261
TH(PPM),0.3443213897140833
RB(PPM),0.2923286961484947
LA(PPM),-0.2749842265806867
NB(PPM),-0.2427889717614956
K2O(WT%),-0.23298754401785488
CR(PPM),-0.2135711224607011
P2O5(WT%),-0.21042088046762317
ND(PPM),-0.18342932602268305
V(PPM),-0.1266396144899401
FEOT(WT%),-0.11504319388015775
NA2O(WT%),-0.09906610504240773
MNO(WT%),-0.0957106285067566
SR(PPM),0.0800787196751939
ZR(PPM),-0.06053834713948039
Y(PPM),0.011047734274969476
TIO2(WT%),0.0
MGO(WT%),0.0
CAO(WT%),0.0
AL2O3(WT%),0.0
SIO2(WT%),0.0
